,Data,Reuniao,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
11999,2025-03-12,R2/2025,14.25,14.25,0.0308,14.0,14.5,132,0
11969,2025-03-12,R1/2027,12.4587,12.5,1.3375,9.5,15.25,91,0
11971,2025-03-12,R8/2026,12.5949,12.5,1.2865,10.0,15.25,128,0
11973,2025-03-12,R7/2026,12.7887,12.75,1.2739,10.0,15.25,124,0
11975,2025-03-12,R6/2026,13.0065,13.0,1.2602,10.0,15.5,124,0
11977,2025-03-12,R5/2026,13.2899,13.25,1.2033,10.5,15.75,124,0
11979,2025-03-12,R4/2026,13.6244,13.5,1.1181,11.0,16.25,124,0
11981,2025-03-12,R3/2026,13.9695,14.0,0.9799,11.25,16.25,125,0
11997,2025-03-12,R3/2025,14.7936,14.75,0.1884,14.0,15.25,132,0
11985,2025-03-12,R1/2026,14.7078,14.75,0.6462,12.25,16.25,125,0
11987,2025-03-12,R8/2025,14.9732,15.0,0.5031,12.75,16.25,135,0
11989,2025-03-12,R7/2025,15.0417,15.0,0.4199,13.25,16.25,132,0
11991,2025-03-12,R6/2025,15.0678,15.0,0.369,13.5,16.25,132,0
11993,2025-03-12,R5/2025,15.0713,15.0,0.3371,13.75,15.75,132,0
11995,2025-03-12,R4/2025,15.0606,15.0,0.3001,14.0,15.75,132,0
11983,2025-03-12,R2/2026,14.351,14.5,0.8074,11.75,16.25,125,0
11937,2025-03-13,R1/2027,12.4916,12.5,1.3504,9.5,15.25,91,0
11939,2025-03-13,R8/2026,12.6301,12.5,1.2948,10.0,15.25,128,0
11941,2025-03-13,R7/2026,12.8149,12.75,1.2829,10.0,15.25,124,0
11943,2025-03-13,R6/2026,13.0247,13.0,1.267,10.0,15.5,124,0
11945,2025-03-13,R5/2026,13.3081,13.25,1.2036,10.5,15.75,124,0
11947,2025-03-13,R4/2026,13.6345,13.5,1.1185,11.0,16.25,124,0
11949,2025-03-13,R3/2026,13.9775,14.0,0.9775,11.25,16.25,125,0
11951,2025-03-13,R2/2026,14.355,14.5,0.8013,11.75,16.25,125,0
11953,2025-03-13,R1/2026,14.7058,14.75,0.6418,12.25,16.25,125,0
11955,2025-03-13,R8/2025,14.9769,15.0,0.5032,12.75,16.25,135,0
11957,2025-03-13,R7/2025,15.0436,15.0,0.4214,13.25,16.25,132,0
11959,2025-03-13,R6/2025,15.0716,15.0,0.3683,13.5,16.25,132,0
11961,2025-03-13,R5/2025,15.0751,15.0,0.3362,13.75,15.75,132,0
11963,2025-03-13,R4/2025,15.0644,15.0,0.2993,14.0,15.75,132,0
11965,2025-03-13,R3/2025,14.7936,14.75,0.1884,14.0,15.25,132,0
11967,2025-03-13,R2/2025,14.25,14.25,0.0308,14.0,14.5,132,0
11905,2025-03-14,R1/2027,12.5093,12.5,1.3013,9.5,15.25,106,0
11907,2025-03-14,R8/2026,12.6233,12.5,1.2768,10.0,15.25,135,0
11909,2025-03-14,R7/2026,12.7924,12.75,1.2668,10.0,15.25,131,0
11911,2025-03-14,R6/2026,12.9852,13.0,1.2459,10.0,15.5,131,0
11913,2025-03-14,R5/2026,13.2553,13.0,1.1743,10.5,15.75,131,0
11915,2025-03-14,R4/2026,13.5796,13.5,1.0815,11.0,16.25,131,0
11917,2025-03-14,R3/2026,13.9465,14.0,0.9209,11.5,16.25,132,0
11935,2025-03-14,R2/2025,14.25,14.25,0.0,14.25,14.25,141,0
11921,2025-03-14,R1/2026,14.7006,14.75,0.6017,12.5,16.25,132,0
11923,2025-03-14,R8/2025,14.9749,15.0,0.4708,13.0,16.25,144,0
11925,2025-03-14,R7/2025,15.0426,15.0,0.3938,13.25,16.25,141,0
11927,2025-03-14,R6/2025,15.0764,15.0,0.3479,13.5,16.25,140,0
11929,2025-03-14,R5/2025,15.0738,15.0,0.3278,13.75,15.75,141,0
11931,2025-03-14,R4/2025,15.0603,15.0,0.287,14.0,15.5,141,0
11933,2025-03-14,R3/2025,14.7961,14.75,0.1801,14.25,15.25,141,0
11919,2025-03-14,R2/2026,14.3342,14.5,0.7641,12.0,16.25,132,0
11883,2025-03-17,R4/2026,13.5745,13.5,1.0841,11.0,16.25,130,0
11873,2025-03-17,R1/2027,12.5023,12.5,1.3055,9.5,15.25,105,0
11875,2025-03-17,R8/2026,12.6187,12.5,1.2804,10.0,15.25,134,0
11877,2025-03-17,R7/2026,12.7869,12.75,1.2702,10.0,15.25,130,0
11879,2025-03-17,R6/2026,12.9793,13.0,1.2489,10.0,15.5,130,0
11881,2025-03-17,R5/2026,13.2496,13.0,1.177,10.5,15.75,130,0
11885,2025-03-17,R3/2026,13.9423,14.0,0.9231,11.5,16.25,131,0
11887,2025-03-17,R2/2026,14.3311,14.5,0.7662,12.0,16.25,131,0
11889,2025-03-17,R1/2026,14.6983,14.75,0.6034,12.5,16.25,131,0
11891,2025-03-17,R8/2025,14.9763,15.0,0.4737,13.0,16.25,142,0
11893,2025-03-17,R7/2025,15.0432,15.0,0.3966,13.25,16.25,139,0
11895,2025-03-17,R6/2025,15.0775,15.0,0.3503,13.5,16.25,138,0
11897,2025-03-17,R5/2025,15.0749,15.0,0.33,13.75,15.75,139,0
11899,2025-03-17,R4/2025,15.0612,15.0,0.2889,14.0,15.5,139,0
11901,2025-03-17,R3/2025,14.7968,14.75,0.1813,14.25,15.25,139,0
11903,2025-03-17,R2/2025,14.25,14.25,0.0,14.25,14.25,139,0
11843,2025-03-18,R8/2026,12.6085,12.5,1.281,10.0,15.25,135,0
11845,2025-03-18,R7/2026,12.7752,12.75,1.2724,10.0,15.25,131,0
11847,2025-03-18,R6/2026,12.9661,13.0,1.2532,10.0,15.5,131,0
11849,2025-03-18,R5/2026,13.2363,13.0,1.1824,10.5,15.75,131,0
11851,2025-03-18,R4/2026,13.5624,13.5,1.0886,11.0,16.25,131,0
11853,2025-03-18,R3/2026,13.9333,14.0,0.9254,11.5,16.25,132,0
11855,2025-03-18,R2/2026,14.3267,14.5,0.7649,12.0,16.25,132,0
11841,2025-03-18,R1/2027,12.4836,12.5,1.3008,9.5,15.25,107,0
11859,2025-03-18,R8/2025,14.9747,15.0,0.4725,13.0,16.25,143,0
11861,2025-03-18,R7/2025,15.0411,15.0,0.396,13.25,16.25,140,0
11863,2025-03-18,R6/2025,15.0752,15.0,0.3501,13.5,16.25,139,0
11865,2025-03-18,R5/2025,15.0726,15.0,0.33,13.75,15.75,140,0
11867,2025-03-18,R4/2025,15.0589,15.0,0.2891,14.0,15.5,140,0
11869,2025-03-18,R3/2025,14.7964,14.75,0.1807,14.25,15.25,140,0
11871,2025-03-18,R2/2025,14.2464,14.25,0.0421,13.75,14.25,140,0
11857,2025-03-18,R1/2026,14.6987,14.75,0.6011,12.5,16.25,132,0
11809,2025-03-19,R1/2027,12.4812,12.5,1.301,9.5,15.25,107,0
11811,2025-03-19,R8/2026,12.6085,12.5,1.281,10.0,15.25,135,0
11813,2025-03-19,R7/2026,12.7752,12.75,1.2724,10.0,15.25,131,0
11815,2025-03-19,R6/2026,12.9661,13.0,1.2532,10.0,15.5,131,0
11817,2025-03-19,R5/2026,13.2363,13.0,1.1824,10.5,15.75,131,0
11819,2025-03-19,R4/2026,13.5624,13.5,1.0886,11.0,16.25,131,0
11821,2025-03-19,R3/2026,13.9333,14.0,0.9254,11.5,16.25,132,0
11825,2025-03-19,R1/2026,14.6987,14.75,0.6011,12.5,16.25,132,0
11827,2025-03-19,R8/2025,14.9747,15.0,0.4725,13.0,16.25,143,0
11829,2025-03-19,R7/2025,15.0411,15.0,0.396,13.25,16.25,140,0
11831,2025-03-19,R6/2025,15.0752,15.0,0.3501,13.5,16.25,139,0
11833,2025-03-19,R5/2025,15.0726,15.0,0.33,13.75,15.75,140,0
11835,2025-03-19,R4/2025,15.0589,15.0,0.2891,14.0,15.5,140,0
11837,2025-03-19,R3/2025,14.7964,14.75,0.1807,14.25,15.25,140,0
11839,2025-03-19,R2/2025,14.2464,14.25,0.0421,13.75,14.25,140,0
11823,2025-03-19,R2/2026,14.3267,14.5,0.7649,12.0,16.25,132,0
11787,2025-03-20,R5/2026,13.24,13.0,1.1853,10.5,15.75,130,0
11779,2025-03-20,R1/2027,12.4763,12.5,1.3043,9.5,15.25,106,0
11781,2025-03-20,R8/2026,12.6205,12.5,1.2764,10.0,15.25,134,0
11783,2025-03-20,R7/2026,12.7831,12.65,1.2692,10.0,15.25,130,0
11785,2025-03-20,R6/2026,12.9755,13.0,1.2519,10.0,15.5,130,0
11789,2025-03-20,R4/2026,13.561,13.5,1.1018,11.0,16.25,130,0
11791,2025-03-20,R3/2026,13.9232,14.0,0.9447,11.5,16.25,131,0
11793,2025-03-20,R2/2026,14.3082,14.5,0.7824,12.0,16.25,131,0
11795,2025-03-20,R1/2026,14.6773,14.75,0.6219,12.5,16.25,131,0
11797,2025-03-20,R8/2025,14.9551,15.0,0.4896,13.0,16.25,142,0
11799,2025-03-20,R7/2025,15.0306,15.0,0.3938,13.25,16.25,139,0
11801,2025-03-20,R6/2025,15.0685,15.0,0.3398,13.5,16.25,138,0
11803,2025-03-20,R5/2025,15.0695,15.0,0.3123,13.75,15.75,139,0
11805,2025-03-20,R4/2025,15.054,15.0,0.2825,14.0,15.5,139,0
11807,2025-03-20,R3/2025,14.795,14.75,0.1703,14.25,15.25,139,0
11745,2025-03-21,R2/2027,12.3278,12.25,1.3487,10.0,15.25,45,0
11747,2025-03-21,R1/2027,12.4226,12.5,1.2871,9.5,15.25,110,0
11749,2025-03-21,R8/2026,12.5673,12.5,1.2606,10.0,15.25,136,0
11751,2025-03-21,R7/2026,12.739,12.5,1.2323,10.0,15.25,132,0
11753,2025-03-21,R6/2026,12.9342,13.0,1.1966,10.5,15.5,132,0
11755,2025-03-21,R5/2026,13.1966,13.0,1.1352,10.5,15.5,132,0
11757,2025-03-21,R4/2026,13.5241,13.5,1.0523,11.0,15.5,132,0
11759,2025-03-21,R3/2026,13.8924,14.0,0.9067,11.75,15.5,133,0
11761,2025-03-21,R2/2026,14.281,14.25,0.7472,12.25,15.5,133,0
11763,2025-03-21,R1/2026,14.651,14.75,0.5858,12.75,15.5,134,0
11765,2025-03-21,R8/2025,14.9301,15.0,0.4515,13.25,15.75,145,0
11767,2025-03-21,R7/2025,15.0088,15.0,0.3401,13.75,15.75,142,0
11769,2025-03-21,R6/2025,15.0528,15.0,0.2737,14.25,15.75,141,0
11771,2025-03-21,R5/2025,15.0557,15.0,0.2651,14.25,15.75,142,0
11773,2025-03-21,R4/2025,15.0405,15.0,0.2511,14.25,15.5,142,0
11775,2025-03-21,R3/2025,14.787,14.75,0.154,14.25,15.25,142,0
11713,2025-03-24,R2/2027,12.3424,12.25,1.3375,10.0,15.25,46,0
11715,2025-03-24,R1/2027,12.4368,12.5,1.2912,9.5,15.25,107,0
11717,2025-03-24,R8/2026,12.5457,12.5,1.2488,10.0,15.25,129,0
11719,2025-03-24,R7/2026,12.7246,12.5,1.2189,10.0,15.25,126,0
11721,2025-03-24,R6/2026,12.9211,13.0,1.1864,10.5,15.5,126,0
11723,2025-03-24,R5/2026,13.1841,13.0,1.1268,10.5,15.5,126,0
11725,2025-03-24,R4/2026,13.5133,13.5,1.0479,11.0,15.5,126,0
11743,2025-03-24,R3/2025,14.7854,14.75,0.1405,14.25,15.25,134,0
11729,2025-03-24,R2/2026,14.2785,14.25,0.7413,12.25,15.5,127,0
11731,2025-03-24,R1/2026,14.6561,14.75,0.5778,12.75,15.5,128,0
11733,2025-03-24,R8/2025,14.9352,15.0,0.446,13.25,15.75,137,0
11735,2025-03-24,R7/2025,15.0149,15.0,0.337,13.75,15.75,134,0
11737,2025-03-24,R6/2025,15.0598,15.0,0.2704,14.25,15.75,133,0
11739,2025-03-24,R5/2025,15.0609,15.0,0.266,14.25,15.75,134,0
11741,2025-03-24,R4/2025,15.0466,15.0,0.2503,14.25,15.5,134,0
11727,2025-03-24,R3/2026,13.8873,14.0,0.9023,11.75,15.5,127,0
11693,2025-03-25,R4/2026,13.5327,13.5,1.0481,11.0,15.5,128,0
11681,2025-03-25,R2/2027,12.375,12.375,1.3241,10.0,15.25,50,0
11683,2025-03-25,R1/2027,12.4472,12.5,1.2807,9.5,15.25,109,0
11685,2025-03-25,R8/2026,12.5565,12.5,1.241,10.0,15.25,131,0
11687,2025-03-25,R7/2026,12.7426,12.525,1.2138,10.0,15.25,128,0
11689,2025-03-25,R6/2026,12.9399,13.0,1.1817,10.5,15.5,128,0
11691,2025-03-25,R5/2026,13.2066,13.0,1.1245,10.5,15.5,128,0
11695,2025-03-25,R3/2026,13.9065,14.0,0.9009,11.75,15.5,129,0
11701,2025-03-25,R8/2025,14.9415,15.0,0.4359,13.25,15.75,139,0
11699,2025-03-25,R1/2026,14.6691,14.75,0.5659,12.75,15.5,130,0
11711,2025-03-25,R3/2025,14.7849,14.75,0.1395,14.25,15.25,136,0
11703,2025-03-25,R7/2025,15.0202,15.0,0.3294,13.75,15.75,136,0
11705,2025-03-25,R6/2025,15.0644,15.0,0.2681,14.25,15.75,135,0
11707,2025-03-25,R5/2025,15.0655,15.0,0.2637,14.25,15.75,136,0
11709,2025-03-25,R4/2025,15.0496,15.0,0.2478,14.25,15.5,136,0
11697,2025-03-25,R2/2026,14.2955,14.25,0.7336,12.25,15.5,129,0
11649,2025-03-26,R2/2027,12.3529,12.25,1.3203,10.0,15.25,51,0
11653,2025-03-26,R8/2026,12.5565,12.5,1.241,10.0,15.25,131,0
11655,2025-03-26,R7/2026,12.7426,12.525,1.2138,10.0,15.25,128,0
11657,2025-03-26,R6/2026,12.9399,13.0,1.1817,10.5,15.5,128,0
11659,2025-03-26,R5/2026,13.2066,13.0,1.1245,10.5,15.5,128,0
11661,2025-03-26,R4/2026,13.5327,13.5,1.0481,11.0,15.5,128,0
11663,2025-03-26,R3/2026,13.9065,14.0,0.9009,11.75,15.5,129,0
11651,2025-03-26,R1/2027,12.4472,12.5,1.2807,9.5,15.25,109,0
11667,2025-03-26,R1/2026,14.6691,14.75,0.5659,12.75,15.5,130,0
11669,2025-03-26,R8/2025,14.9415,15.0,0.4359,13.25,15.75,139,0
11671,2025-03-26,R7/2025,15.0221,15.0,0.3286,13.75,15.75,136,0
11673,2025-03-26,R6/2025,15.0663,15.0,0.2668,14.25,15.75,135,0
11675,2025-03-26,R5/2025,15.0674,15.0,0.2624,14.25,15.75,136,0
11677,2025-03-26,R4/2025,15.0515,15.0,0.2465,14.25,15.5,136,0
11679,2025-03-26,R3/2025,14.7849,14.75,0.1395,14.25,15.25,136,0
11665,2025-03-26,R2/2026,14.2955,14.25,0.7336,12.25,15.5,129,0
11617,2025-03-27,R2/2027,12.4676,12.5,1.3845,10.0,15.5,54,0
11619,2025-03-27,R1/2027,12.4751,12.5,1.3169,9.5,15.5,111,0
11621,2025-03-27,R8/2026,12.5851,12.5,1.2749,10.0,15.5,131,0
11623,2025-03-27,R7/2026,12.7719,12.65,1.2437,10.0,15.5,128,0
11625,2025-03-27,R6/2026,12.9653,13.0,1.2054,10.5,15.5,128,0
11627,2025-03-27,R5/2026,13.2262,13.0001,1.1419,10.5,15.5,128,0
11629,2025-03-27,R4/2026,13.5483,13.5,1.0586,11.0,15.5,128,0
11637,2025-03-27,R8/2025,14.9388,15.0,0.4372,13.25,15.75,137,0
11633,2025-03-27,R2/2026,14.2978,14.375,0.7334,12.25,15.5,128,0
11635,2025-03-27,R1/2026,14.6704,14.75,0.5662,12.75,15.5,129,0
11639,2025-03-27,R7/2025,15.0205,15.0,0.329,13.75,15.75,134,0
11641,2025-03-27,R6/2025,15.0654,15.0,0.2665,14.25,15.75,133,0
11643,2025-03-27,R5/2025,15.0665,15.0,0.262,14.25,15.75,134,0
11645,2025-03-27,R4/2025,15.0522,15.0,0.2483,14.25,15.5,134,0
11647,2025-03-27,R3/2025,14.7836,14.75,0.1393,14.25,15.25,134,0
11631,2025-03-27,R3/2026,13.9097,14.0,0.9042,11.75,15.5,128,0
11593,2025-03-28,R6/2026,13.0158,13.0,1.2372,10.5,15.5,130,0
11591,2025-03-28,R7/2026,12.8177,12.75,1.2704,10.0,15.5,130,0
11595,2025-03-28,R5/2026,13.2804,13.25,1.1734,10.5,15.5,130,0
11587,2025-03-28,R1/2027,12.4977,12.5,1.3503,9.5,15.5,112,0
11585,2025-03-28,R2/2027,12.4735,12.25,1.3968,9.5,15.5,66,0
11589,2025-03-28,R8/2026,12.6177,12.5,1.3058,10.0,15.5,133,0
11597,2025-03-28,R4/2026,13.6033,13.5,1.0815,11.0,15.5,130,0
11613,2025-03-28,R4/2025,15.0657,15.0,0.2403,14.25,15.5,137,0
11601,2025-03-28,R2/2026,14.3605,14.5,0.7493,12.25,15.75,130,0
11603,2025-03-28,R1/2026,14.7174,14.75,0.5748,12.75,15.75,131,0
11605,2025-03-28,R8/2025,14.9651,15.0,0.4312,13.25,15.75,140,0
11607,2025-03-28,R7/2025,15.0438,15.0,0.3294,13.75,15.75,137,0
11609,2025-03-28,R6/2025,15.086,15.0,0.2679,14.25,15.75,136,0
11611,2025-03-28,R5/2025,15.0869,15.0,0.2634,14.25,15.75,137,0
11615,2025-03-28,R3/2025,14.7792,14.75,0.1284,14.25,15.25,137,0
11599,2025-03-28,R3/2026,13.9688,14.0,0.9248,11.75,15.5,130,0
11553,2025-03-31,R2/2027,12.4659,12.25,1.4141,9.0,15.5,66,0
11555,2025-03-31,R1/2027,12.5022,12.5,1.3638,9.0,15.5,111,0
