,Media,Data
2,0.526,2025-03-01
3,0.5111,2025-03-01
4,0.4754,2025-04-01
5,0.4932,2025-04-01
6,0.3568,2025-05-01
7,0.3516,2025-05-01
8,0.3292,2025-06-01
9,0.318,2025-06-01
10,0.3257,2025-07-01
11,0.3361,2025-07-01
12,0.2361,2025-08-01
13,0.2551,2025-08-01
14,0.3283,2025-09-01
15,0.3399,2025-09-01
16,0.4038,2025-10-01
17,0.4253,2025-10-01
18,0.3585,2025-11-01
19,0.3685,2025-11-01
20,0.5843,2025-12-01
21,0.5889,2025-12-01
22,0.4361,2026-01-01
23,0.4461,2026-01-01
24,0.5672,2026-02-01
25,0.6082,2026-02-01
26,0.3833,2026-03-01
27,0.3867,2026-03-01
28,0.3826,2026-04-01
29,0.3943,2026-04-01
30,0.2985,2026-05-01
31,0.2976,2026-05-01
32,0.2584,2026-06-01
33,0.2481,2026-06-01
34,0.1984,2026-07-01
35,0.2384,2026-07-01
36,0.185,2026-08-01
37,0.1968,2026-08-01
38,0.284,2026-09-01
39,0.2927,2026-09-01
52,0.5367,2025-03-01
53,0.5112,2025-03-01
54,0.4733,2025-04-01
55,0.4935,2025-04-01
56,0.3581,2025-05-01
57,0.3519,2025-05-01
58,0.3386,2025-06-01
59,0.3185,2025-06-01
60,0.3395,2025-07-01
61,0.3367,2025-07-01
62,0.2462,2025-08-01
63,0.2533,2025-08-01
64,0.3354,2025-09-01
65,0.3402,2025-09-01
66,0.4062,2025-10-01
67,0.4255,2025-10-01
68,0.3546,2025-11-01
69,0.3682,2025-11-01
70,0.5778,2025-12-01
71,0.5906,2025-12-01
72,0.4324,2026-01-01
73,0.4469,2026-01-01
74,0.5682,2026-02-01
75,0.6086,2026-02-01
76,0.3903,2026-03-01
77,0.3865,2026-03-01
78,0.3941,2026-04-01
79,0.3953,2026-04-01
80,0.2982,2026-05-01
81,0.2976,2026-05-01
82,0.2661,2026-06-01
83,0.2481,2026-06-01
84,0.2047,2026-07-01
85,0.2387,2026-07-01
86,0.1964,2026-08-01
87,0.1959,2026-08-01
88,0.2934,2026-09-01
89,0.2931,2026-09-01
102,0.5311,2025-03-01
103,0.5109,2025-03-01
104,0.4563,2025-04-01
105,0.4914,2025-04-01
106,0.3626,2025-05-01
107,0.3558,2025-05-01
108,0.3402,2025-06-01
109,0.3208,2025-06-01
110,0.3391,2025-07-01
111,0.3389,2025-07-01
112,0.2424,2025-08-01
113,0.2562,2025-08-01
114,0.3388,2025-09-01
115,0.3405,2025-09-01
116,0.4103,2025-10-01
117,0.4242,2025-10-01
118,0.3498,2025-11-01
119,0.3674,2025-11-01
120,0.5799,2025-12-01
121,0.5888,2025-12-01
122,0.421,2026-01-01
123,0.4476,2026-01-01
124,0.5916,2026-02-01
125,0.6107,2026-02-01
126,0.3866,2026-03-01
127,0.3851,2026-03-01
128,0.3574,2026-04-01
129,0.3935,2026-04-01
130,0.2961,2026-05-01
131,0.2976,2026-05-01
132,0.2488,2026-06-01
133,0.2481,2026-06-01
134,0.1985,2026-07-01
135,0.2386,2026-07-01
136,0.1859,2026-08-01
137,0.1961,2026-08-01
138,0.2822,2026-09-01
139,0.2933,2026-09-01
152,0.5282,2025-03-01
153,0.5122,2025-03-01
154,0.4608,2025-04-01
155,0.4899,2025-04-01
156,0.3703,2025-05-01
157,0.3559,2025-05-01
158,0.3445,2025-06-01
159,0.3199,2025-06-01
160,0.3451,2025-07-01
161,0.3397,2025-07-01
162,0.246,2025-08-01
163,0.2556,2025-08-01
164,0.3474,2025-09-01
165,0.3404,2025-09-01
166,0.4158,2025-10-01
167,0.4243,2025-10-01
168,0.3485,2025-11-01
169,0.3673,2025-11-01
170,0.5837,2025-12-01
171,0.5883,2025-12-01
172,0.4337,2026-01-01
173,0.4475,2026-01-01
174,0.6049,2026-02-01
175,0.6101,2026-02-01
176,0.3937,2026-03-01
177,0.3849,2026-03-01
178,0.3708,2026-04-01
179,0.3947,2026-04-01
180,0.3006,2026-05-01
181,0.2976,2026-05-01
182,0.257,2026-06-01
183,0.249,2026-06-01
184,0.2182,2026-07-01
185,0.239,2026-07-01
186,0.1874,2026-08-01
187,0.1946,2026-08-01
188,0.2853,2026-09-01
189,0.2926,2026-09-01
202,0.5276,2025-03-01
203,0.5127,2025-03-01
204,0.4559,2025-04-01
205,0.4892,2025-04-01
206,0.3669,2025-05-01
207,0.356,2025-05-01
208,0.3306,2025-06-01
209,0.32,2025-06-01
210,0.3344,2025-07-01
211,0.3401,2025-07-01
212,0.2374,2025-08-01
213,0.2557,2025-08-01
214,0.3422,2025-09-01
215,0.341,2025-09-01
216,0.4197,2025-10-01
217,0.4242,2025-10-01
218,0.3497,2025-11-01
219,0.3672,2025-11-01
220,0.5738,2025-12-01
221,0.5887,2025-12-01
222,0.4358,2026-01-01
223,0.4472,2026-01-01
224,0.6044,2026-02-01
225,0.6105,2026-02-01
226,0.389,2026-03-01
227,0.3855,2026-03-01
228,0.3587,2026-04-01
229,0.3941,2026-04-01
230,0.296,2026-05-01
231,0.2975,2026-05-01
232,0.2595,2026-06-01
233,0.2489,2026-06-01
234,0.2149,2026-07-01
235,0.2392,2026-07-01
236,0.1761,2026-08-01
237,0.1942,2026-08-01
238,0.2817,2026-09-01
239,0.2924,2026-09-01
250,0.5383,2025-03-01
251,0.517,2025-03-01
252,0.4752,2025-04-01
253,0.4917,2025-04-01
254,0.3624,2025-05-01
255,0.3565,2025-05-01
256,0.3188,2025-06-01
257,0.3196,2025-06-01
258,0.3393,2025-07-01
259,0.3424,2025-07-01
260,0.2277,2025-08-01
261,0.2536,2025-08-01
262,0.351,2025-09-01
263,0.3415,2025-09-01
264,0.4305,2025-10-01
265,0.4232,2025-10-01
266,0.3566,2025-11-01
267,0.3672,2025-11-01
268,0.5919,2025-12-01
269,0.5907,2025-12-01
270,0.4421,2026-01-01
271,0.4482,2026-01-01
272,0.6252,2026-02-01
273,0.6115,2026-02-01
274,0.3926,2026-03-01
275,0.3864,2026-03-01
276,0.3679,2026-04-01
277,0.3947,2026-04-01
278,0.2978,2026-05-01
279,0.2977,2026-05-01
280,0.2598,2026-06-01
281,0.2502,2026-06-01
282,0.2125,2026-07-01
283,0.2402,2026-07-01
284,0.1685,2026-08-01
285,0.1946,2026-08-01
286,0.2854,2026-09-01
287,0.2924,2026-09-01
300,0.5391,2025-03-01
301,0.5199,2025-03-01
302,0.4774,2025-04-01
303,0.4912,2025-04-01
304,0.3638,2025-05-01
305,0.358,2025-05-01
306,0.3195,2025-06-01
307,0.3212,2025-06-01
308,0.3419,2025-07-01
309,0.343,2025-07-01
310,0.2324,2025-08-01
311,0.2544,2025-08-01
312,0.3528,2025-09-01
313,0.3426,2025-09-01
314,0.4275,2025-10-01
